Pavadinimas,Veiklos vykdymo vieta,Klasė,Klasė suteikta iki,Oficialus įm. pavadinimas,El. paštas,Telefonas,Papildomas telefonas,Faksas,Svetainės adresas,Vietų skaičius,Kambarių skaičius,Priklausomybė tinklui,Priėmimo mėn.,Papildomos paslaugos,Sveikatingumo paslaugos,Pramogos,Verslo centro įranga,Inventoriaus nuoma,Pritaikyta neįgaliesiems,Pramogos neįgaliesiems,Maitinimo paslaugos,Darbo valandos
PAŽAISLIS PARK HOTEL,"T. Masiulio g. 18E, Kauno m.",3*,2015.02.01,"UAB ""EVLADA""",pphotel@hotmail.com,37452433,,37351554,,21,10,,,"Mašinų stovėjimo aikštelė, Seifas, Skalbimas ir valymas",,,,,Nėra,,Restoranas,
PERKŪNO NAMAI,"Perkūno al. 61, Kaunas",4*,2010.01.31,"Uždaroji akcinė bendrovė ""Perkūno namai""",hotel@perkuno-namai.lt,37320230,,37323678,,48,30,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Mašinų stovėjimo aikštelė, Pirtis/Sauna, Treniruoklių salė",,,,Dviračiai,Yra,,Restoranas,
PERVAŽA,"Smėlynės g. 112, Panevėžio m.",2*,2015.04.19,"UAB ""INTERSELAS""",hotel@pervaza.lt,45508118,,45508118,,76,27,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Mašinų stovėjimo aikštelė,,,,,,,Pusryčiai,
PLINKŠIŲ VIEŠBUTIS,"Plinkšių k., Mažeikių r.",2*,2015.05.14,"UAB ""Plinijus""",info@plinkseshotel.lt,44329212,,44329212,,59,36,,,"Baseinas, Pirtis/Sauna, Požeminis garažas, Seifas, Skalbimas ir valymas, Teniso kortai",,,,,Nėra,,"Baras, Kavinė, Restoranas",
PONAS TADAS,"Naugarduko g. 76, Vilniaus m.",3*,2015.04.19,"VĮ ""Vilnvarsa""",info@polskidom.lt,2336814,,2333596,,85,35,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas",,,,,Yra,,,
PRIE EŽERO,"Radviliškio r. sav., Pakalniškių apylinkės sen., Raudondvaris",3*,2011.11.22,"UAB ""PRIE EŽERO""",pe@hotelpe.lt,42244430,,42244436,,27,14,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Pirtis/Sauna,,,,,,,"Pusryčiai, Restoranas",
PRIE LUKŠTO,"Telšių r. sav., Varnių sen., Varniai, Medininkų a. 1/1",2*,2015.03.06,"UAB ""PRIE LUKŠTO""",telsiulukstas@takas.lt,44454789,,44454789,,12,7,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Biliardas, Pirtis/Sauna",,Žaidimo automatai,,,,,Kavinė,
PRIE MALŪNO,"Vosyliukų k., Lentvario sen., Trakų r.",3*,2005.06.15,"Uždaroji akcinė bendrovė ""PRIE MALŪNO""",priemaluno@delfi.lt,52438406,,52438406,,24,8,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas",,Sveikatingumo klubas,,"Dviračiai, Vandens dviračiai",,,Restoranas,
PROMENADA,"Šiaulių g. 41, Klaipėdos m.",3*,2012.04.28,"UAB ""Promenade""",,,,,,40,20,,,"Mašinų stovėjimo aikštelė, Skalbimas ir valymas",,,,,Nėra,,,
PRŪSIJA,"S. Šimkaus g. 6, Klaipėda",2*,2008.03.29,"Uždaroji akcinė bendrovė ""PRŪSIJA""",,46412078,,46412078,,,10,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",,,,,,Nėra,,Kavinė,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
PUNTUKAS,"A. Baranausko a. 15, Anykščių m., Anykščių r.",2*,2015.07.30,"UAB ""Puntuko viešbutis""",,38151345,,38151345,,19,10,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Kirpykla, Soliariumas",,,,,Nėra,,Baras,
PURIENA,"Radviliškio r. sav., Radviliškio miesto sen., Radviliškis, Daujočių g. 10B",2*,2009.05.14,A.GRIGALIŪNO INDIVIDUALI ĮMONĖ,grigaliunas@one.lt,42261211,,42251185,,43,17,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Mašinų stovėjimo aikštelė, Pirtis/Sauna, Rusiška pirtis",,,,,,,"Baras, Kavinė",
PUŠYNAS,"Vilniaus al. 3, Druskininkai, Druskininkų sav.",3*,2012.05.23,"UAB DRUSKININKŲ VIEŠBUTIS ""PUŠYNAS""",info@pusynas.lt,31356666,,31356666,,140,70,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Mašinų stovėjimo aikštelė,,,,,Yra,,,
PUŠYNO NAMAI,"Spurganų k., Mažeikių r.",4*,2013.10.04,"UAB""SAULIDA""",saulida@centras.lt,44348175,,44348177,,44,24,,,"Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Treniruoklių salė",,,,,Yra,,Restoranas,
PUŠIS,"Blindžių g. 17, Vilnius",1*,2007.03.29,Uždaroji akcinė bendrovė Žemės ūkio kooperacijos ir verslo mokymo centras,pusis@pusishotel.lt,52683999,52721305,52721305,,52,34,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Mašinų stovėjimo aikštelė,,,,,Nėra,,Kavinė,
PUŠŲ PAUNKSNĖJE,"Palangos m. sav., Palanga, S. Dariaus ir S. Girėno g. 25",4*,2012.05.23,"UAB ""PUŠŲ PAUNKSNĖJE""",pusupaunksneje@takas.lt,46049080,,46049081,,52,14,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Treniruoklių salė",,,,,Yra,,"Baras, Restoranas",
RADISSON BLU ASTORIJA,"Vilnius, Didžioji g. 35",5*,2015.03.06,"UAB ""AAA Astorija""",info.vilnius@radissonsas.com,52120110,,52121762,,221,120,REZIDOR SAS,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Treniruoklių salė",,,,,Yra,,"Baras, Restoranas",
RADISSON BLU HOTEL LIETUVA,"Konstitucijos pr. 20, Vilniaus m.",4*,2015.03.06,"UAB ""Višbutis Lietuva""",lietuva.sales@revalhotels.com,2726272,,2726272,,582,291,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Automobilių nuoma, Valiutos keitykla",,,,,Yra,,Restoranas,
RADISSON BLU KLAIPĖDA,Šiaulių g. 28,4*,2013.10.04,"UAB :RAMUSIS PAMARYS""",info.klaipeda@RadissonSAS.com,46490800,,46490815,,150,75,,,Mašinų stovėjimo aikštelė,,,,,Yra,,Restoranas,
RAMADA HOTEL AND SUITES VILNIUS,"Subačiaus g. 2, Vilniaus m.",5*,2013.12.22,"UAB ""Mare Balticum""",hotel@ramadavilnius.lt,2553355,,2553311,,101,55,Cendant hotel group,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Pirtis/Sauna, Treniruoklių salė",,,,,Yra,,Restoranas,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
RASA,"Maironio g. 2-95/20958, Raseiniai",1*,2009.05.14,"AB ""Raseinių prekyba""",rasprek@delfi.lt,42870334,,42870334,,23,10,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",,,,,,,,"Kavinė, Valgykla",
RATONDA CENTRUM HOTEL,"Gedimino pr. 52/1a, Vilnius",4*,2013.10.04,"Lietuvos ir JAV uždaroji akcinė bendrovė ""CENTRUM""",ratonda@centrumhotels.com,52101689,,52120669,,78,51,Centrum,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Mašinų stovėjimo aikštelė, Pirtis/Sauna, Treniruoklių salė",,,,,Nėra,,,
RĄŽĖ,"Vytauto g. 74, Palangos m.",3*,2013.12.22,"UAB ""Palturas""",palturas@is.lt,46048462,,46048461,,40,22,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas",,,,,Nėra,,Valgykla,
REGINA,"T. Kosciuškos g. 3, Druskininkų m., Druskininkų sav.",3*,2011.10.06,"UAB ""Liturimex"" viešbučiai",reservation@regina.lt,31359060,,31359061,,72,40,"""Liturimex"" viešbučiai","Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna",,,,,,,"Baras, Restoranas",
REGINA,"Plungės g. 10/ A. Strazdo g. 62, Kauno m.",3*,2011.10.06,REGINOS KUNIKAUSKIENĖS IĮ,info@regina-motel.lt,37262020,37263690,37268855,,11,10,,,Skalbimas ir valymas,,,,,Nėra,,"Baras, Kavinė",
REGINA,Druskininkų sav.,3*,2013.12.22,"UAB ""Jotėja""",reservation@regina.lt,81359060,,81359061,www.regina.lt,77,40,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",,,,,,,,,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
REVAL HOTEL LIETUVA,"Vilniaus m. sav., Vilnius, Konstitucijos pr. 20",4*,2008.01.20,"Akcinė bendrovė viešbutis ""LIETUVA""",lietuva.sales@revalhotels.com,52726272,52726200,52726270,,582,291,Reval hotels,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Automobilių nuoma, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas, Treniruoklių salė, Verslo centras","Klasikinis masažas, Muzikos terapija, Relakcinis masažas",Kazino,Internetinis ryšys,,Yra,,Restoranas,
REVAL INN VILNIUS,"Ukmergės g. 363, Vilnius",3*,2010.10.06,"Uždaroji akcinė bendrovė ""BALTIJOS PARKAI""",vilnius@revalinn.com,52388000,,52388555,,166,83,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Mašinų stovėjimo aikštelė, Seifas, Skalbimas ir valymas",,,"Fakso aparatas, Internetinis ryšys, Kopijavimo aparatas",,,,"Baras, Kavinė",
RINNO,"Vingrių g. 25, Vilnius",3*,2008.01.20,I. ir R. Balaišų personalinė įmonė,hotel@rinno.lt,52622828,,52625929,,30,15,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Mašinų stovėjimo aikštelė,,,,,Nėra,,Pusryčiai,
RINNO,"Vingrių g. 25, Vilniaus m.",3*,2015.06.07,"IĮ ""Rinno""",info@rinno.lt,2622828,,2625929,,30,15,,,"Požeminis garažas, Seifas, Skalbimas ir valymas, Suvenyrų parduotuvė",,,"Fakso aparatas, Internetinis ryšys, Kopijavimo aparatas",,Nėra,,Pusryčiai,
ROMANTIC,"Kranto g. 24, Panevėžio m.",4*,2015.07.30,"UAB ""Via unica""",hotelromantic@takas.lt,45583983,,45581262,,66,39,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Mašinų stovėjimo aikštelė, Seifas, Skalbimas ir valymas, Treniruoklių salė",,,,,Yra,,"Baras, Restoranas",
RŪDNINKŲ VARTAI,"Rūdninkų g. 15/46, Vilniaus m.",2*,2013.10.11,"UAB ""CITY HOTELS""",rudninkai@cityhotels.lt,52613916,,52120507,,29,17,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Pirtis/Sauna,,,Internetinis ryšys,,Nėra,,Kavinė,
RUGELIS,"Ventos 31 A, Mažeikiai",2*,2015.05.14,"UAB ""Gerdarikė""",info@rugelishotel.lt,44365658,,44366546,,26,14,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Seifas, Skalbimas ir valymas",,,,,,,,
RUNMIS,"Panevėžio g. 8a, Vilnius",2*,2007.03.29,"S. Runevič personalinė įmonė ""RUNMIS""",,52656816,,52724114,,40,20,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",,,,,,Nėra,,Pusryčiai,
RUNMIS,"Panebėžio 8A, Vilnius",2*,2015.03.06,"UAB ""Runmis""",,52656816,,2724141,,40,29,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",,,,,,,,,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
SALDUVĖS,"K. Donelaičio 70, Šiauliai",1*,2015.05.14,"UAB ""Salduvės viešbutis""",,41553593,,41553590,,16,11,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Biliardas, Pirtis/Sauna",,,,,,,Kavinė,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
SALOS,Trakų r. Kranto g. 5,3*,2013.12.22,I. Karnilienės individuali įmonė,salos@salos.lt,52853990,69856992,52853991,,,15,,,,,,,,,,"Kavinė, Restoranas",
SANTA BARBARA,"Baraučiznos k., Vilkaviškio r.",2*,2007.12.04,"UAB ""vilkera""",vilkera@takas.lt,34220550,,34220229,,29,14,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",,,,,,,,Kavinė,
SANTAKOS,"J. Gruodžio g. 21, Kaunas",4*,2008.01.20,"Uždarosios akcinės bendrovės ""Liuks"" filialas ""Santakos viešbutis""",office@santaka.lt,37302702,,37302700,,76,40,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Vaikų priežiura",Klasikinis masažas,Naktinis klubas,,,Nėra,,,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
SAULININKAS,"Šiaulių m. sav., Šiauliai, S. Lukauskio g. 5A",3*,2015.03.06,"UAB ""Laimoza",saulinink@splius.lt,41436555,,41421848,,32,13,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Pirtis/Sauna, Treniruoklių salė",,,,,,,"Baras, Restoranas",
SENAS NAMAS,"Užuolankos g. 24, Alytaus m.",3*,2015.04.19,"UAB ""Trys lelijos""",senasnamas@takas.lt,31551643,61652500,31553489,,37,20,,,"Seifas, Skalbimas ir valymas",,,,,Nėra,,Restoranas,
SENATORIAI,"Tilto g. 2A, Vilnius",3*,2007.02.06,"Uždaroji akcinė bendrovė ""SENI BIČIULIAI""",info@senatoriai.lt,52126491,,52126372,,21,11,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Mašinų stovėjimo aikštelė, Seifas, Skalbimas ir valymas",,,,,Nėra,,"Baras, Kavinė",Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
SFINKSAS,"Aukštaičių g. 55, Kauno m.",4*,2015.05.14,"UAB ""Rimvirita""",hotelsfinx@takas.lt,301982,,301983,,34,12,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas",,,,,,,Restoranas,
SHAKESPEARE,"Vilniaus m. sav., Vilnius, Bernardinų g. 8/8",4*,2015.03.06,"UAB ""Olizarų rūmai""",info@shakespeare.lt,52665885,,52665886,,54,31,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Automobilių nuoma, Mašinų stovėjimo aikštelė, Seifas, Skalbimas ir valymas, Treniruoklių salė",,,,,,,"Baras, Restoranas",
SIMBOLY,"Vazgaikiemio k., Prienų r.",4*,2013.10.04,"UAB""SSPC REAL ESTATE""",info@harmonypark.lt,31960321,65098012,31960322,,56,26,,,"Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas",,,,Sporto inventorius,Yra,,Restoranas,
SKRYDIS,"Rodūnios kelias 8, Vilniaus m.",2*,2011.05.23,Valstybės įmonė Tarptautinis Vilniaus oro uostas,hotel@vno.lt,2739362,,2306498,,108,50,,,"Pirtis/Sauna, Požeminis garažas, Skalbimas ir valymas, Treniruoklių salė",,,,,Yra,,"Baras, Kavinė, Valgykla",
SMĖLYNĖ,"Smėlynės g. 3, Panevėžio m.",3*,2015.06.07,"UAB ""Naujieji Pilėnai""",smelyne@takas.lt,45507790,,45581094,,21,8,,,"Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas",,Boulingas,,,Nėra,,"Baras, Kavinė, Restoranas",
SMILGA,"Senoji g. 16, Kėdainių m., Kėdainių r.",3*,2013.12.22,"UAB ""Juani""",viesbutis@hotelsmilga.lt,34767224,,34756626,,60,29,,,"Mašinų stovėjimo aikštelė, Pirtis/Sauna",,,,,Yra,,Restoranas,
SOFIJOS REZIDENCIJA,"Jaunimo g. 6, Birštono m., Birštono sav.",3*,2012.05.17,"UAB ""Džesklauda""",info@sofijosrezidencija.lt,31945200,,31945201,,28,13,,,"Baseinas, Pirtis/Sauna",,,,,,,Restoranas,
SONATA,"Algirdo g. 34, Birštono m., Birštono sav.",3*,2013.12.22,"UAB ""Birštono sėklytėlė""",seklytele@sonata.lt,31965800,,31965800,,56,22,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Mašinų stovėjimo aikštelė,,,,,,,"Banketinė salė, Restoranas",
SPA - VILNIUS,K.Dineikos g 1/3,3*,2015.06.07,"UAB ""Raminora""",info@spa-vilnius.lt,31353811,,31359059,,350,187,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Baseinas su mineraliniu vandeniu, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Treniruoklių salė",,,,,Yra,,"Baras, Restoranas, Valgykla",Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
SPA HOTEL BELVILIS,"Kirneilės k., Molėtų r.",4*,2015.07.30,"UAB""Belvilis""",info@belvilis.lt,56569491,,38351098,,50,21,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Pūlas",,,,,,,Restoranas,
STADALA,"Gurelių k., Šalčininkų r.",2*,2012.03.31,"UAB ""PAKRUOJO PARKAI""",info@pakruojo-dvaras.lt,68241155,,,,19,10,,,Mašinų stovėjimo aikštelė,,,,Sporto inventorius,Nėra,,Kavinė,
STIKLIAI,"Gaono g. 7, Vilniaus m.",5*,2013.11.08,"UAB ""Stiklių viešbutis""",sales@stikliaihotel.lt,52649595,,52123870,,73,43,,,"Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas, Skalbimas ir valymas, Treniruoklių salė",,,,,Yra,,Restoranas,
SUDAVIJA,"Sodo g. 1a, Marijampolė",3*,2015.03.06,"G.Gutausko firma ""SŪDAVIJA""",sudavija@marinet.lt,34352995,,34352926,,14,10,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",Mašinų stovėjimo aikštelė,,,,,,,,
ŠACHMATINĖ,"J. Basanavičiaus g. 45, Palangos m.",3*,2015.03.06,"UAB ""Šachmatinė""",sachmatine@cili.eu,46051655,61282009,46051655,,28,11,,,"Seifas, Skalbimas ir valymas",,,,Sporto inventorius,Nėra,,"Baras, Kavinė",
ŠARŪNAS,"Raitininkų g. 4, Vilniaus m.",4*,2014.02.01,"UAB ""EAT & viešbutis ""Šarūnas""",marketingas@hotelsarunas.lt,2723004,2723126,2722325,,85,56,,,"Automobilių nuoma, Pirtis/Sauna, Požeminis garažas, Seifas, Skalbimas ir valymas",,,,,Nėra,,Restoranas,
ŠAULYS,"Vasario 16-osios g. 40, Šiaulių m.",3*,2012.02.01,"UAB ""Lietavira""",saulys.hotel@takas.lt,41520812,,41520911,,64,41,,,"Baseinas, Biliardas, Pirtis/Sauna, Požeminis garažas, Skalbimas ir valymas, Treniruoklių salė",,,,,,,"Banketinė salė, Kavinė, Restoranas",
ŠERMUTAS,"Tinklų g. 51, Panevėžio m.",3*,2015.06.07,"UAB ""RIKTA BALTIC""",hotel@sermutas.lt,45401010,,45401015,,82,33,,,"Mašinų stovėjimo aikštelė, Seifas",,,,,Yra,,"Baras, Kavinė",
ŠIAULIAI,"Draugystės pr. 25, Šiauliai",3*,2015.03.06,"Akcinė bendrovė ""Šiaulių"" viešbutis",,41434554,,41438339,,210,117,,,"Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Treniruoklių salė",,,,,Nėra,,Kavinė,
ŠIAULIŲ KRAŠTO MEDŽIOTOJŲ UŽEIGA,"Dubijos g. 20, Šiauliai",4*,2013.10.04,"UAB ""MINGINTĖ""",info@medziotojujuuzeiga.lt,41524526,,41524525,,50,25,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Treniruoklių salė",,,,,Yra,,,
ŠIRVINTA,"J. Basanavičiaus a. 5, Vilkaviškio m., Vilkaviškio r.",2*,2015.05.14,"UAB ""Širvintos viešbutis""",info@sirvinta.lt,34251345,,34253197,,37,21,,,"Seifas, Skalbimas ir valymas",,,,,Nėra,,"Kavinė, Pusryčiai",
TAURAGĖ,"Tauragės r. sav., Tauragės miesto sen., Tauragė, Vytauto g. 83",2*,2011.05.16,"UAB ""TAURAGĖS VIEŠBUTIS""",,44661523,,44661523,,29,14,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",,,,,,,,Pusryčiai,
TAURAS,"Vytauto g. 116, Palanga",3*,2015.05.14,"Uždaroji akcinė bendrovė ""Palangos tauras""",feliksas@feliksas.lt,46049111,,46049111,,53,20,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Mašinų stovėjimo aikštelė, Pirtis/Sauna, Seifas",,,,Dviračiai,Nėra,,Kavinė,Pirmadienis: 0-24; Atradienis: 0-24; Trečiadienis: 0-24; Ketvirtadienis: 0-24; Penktadienis: 0-24; Šeštadienis: 0-24; Sekmadienis: 0-24
TELŠIŲ VIEŠBUTIS,"Telšių r. sav., Telšių sen., Telšiai, Kęstučio g. 21",1*,2015.07.30,"UAB ""TELŠIŲ VIEŠBUTIS""",tkeliai@centras.lt,44453292,,44469261,,52,19,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis",,,,,,,,,
TENISAS,"Palangos m. sav., Palanga, Gėlių a. 1A",2*,2010.06.07,"UAB ""Respublikinė mokomoji sportinė bazė""",,46052828,,46051290,,50,19,,"Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis","Mašinų stovėjimo aikštelė, Teniso kortai",,,,,Nėra,,Kavinė,
TYLA,"Tylos g. 2, Biržai",3*,2011.07.22,"Uždaroji akcinė bendrovė ""Tyla""",hotel@tyla.lt,45031191,,45031191,,32,16,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Treniruoklių salė",,,,,,,Pusryčiai,
TOMAS,"Tilžės g. 63A, Šiaulių m.",4*,2015.03.06,"R.Barausko įmonė ""Tomas""",info@hoteltomas.lt,41415150,,41455541,,53,33,,"Sausis,Vasaris,Kovas,Balandis,Gegužė,Birželis,Liepa,Rugpjūtis,Rugsėjis,Spalis,Lapkritis,Gruodis","Baseinas, Baseinas su srovėmis, Biliardas, Mašinų stovėjimo aikštelė, Pirtis/Sauna, Treniruoklių salė",,,,,Yra,,"Kavinė, Restoranas",
